"gameId","playId","yardsToGo","down","quarter","timeToThrow","possessionTeam","passResult","dropbackDistance","wasInitialPassRusher","pff_manZone","meanGetOffTimeAsPassRusher","minGetOffTimeAsPassRusher","maxGetOffTimeAsPassRusher","los","lineToGain","score_dif","t_oline_distances","m_oline_distances","sd_oline_distances","t_dline_distances","m_dline_distances","sd_dline_distances","QB_concavity","RT_concavity","RG_concavity","C_concavity","LG_concavity","LT_concavity","QB_m_angle","RT_m_angle","RG_m_angle","C_m_angle","LG_m_angle","LT_m_angle","QB_sd_angle","RT_sd_angle","RG_sd_angle","C_sd_angle","LG_sd_angle","LT_sd_angle","mArea","mRate","mAccel","sdArea","sdRate","sdAccel","event_fill","maxArea","minArea","penTime","eventTime","pocketPen","def_success"
2022091500,55,NA,NA,NA,NA,NA,NA,NA,0,NA,1.34099996089935,1.34099996089935,1.34099996089935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,"no","unsuccessful"
2022091500,76,NA,NA,NA,NA,NA,NA,NA,0,NA,0.962999999523162,0.912999987602234,1.01300001144409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,"no","unsuccessful"
2022091500,97,NA,NA,NA,NA,NA,NA,NA,0,NA,1.00466668605804,0.638000011444092,1.23800003528595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,"no","unsuccessful"
2022091500,118,NA,NA,NA,NA,NA,NA,NA,4,NA,0.857000008225441,0.507000029087067,1.20700001716614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pass_forward",-Inf,Inf,NA,"2.1","no","unsuccessful"
2022091500,142,NA,NA,NA,NA,NA,NA,NA,5,NA,1.22500001192093,0.964999973773956,1.76499998569489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pass_forward",-Inf,Inf,NA,"3.5","no","unsuccessful"
2022091500,171,NA,NA,NA,NA,NA,NA,NA,4,NA,1.02966666221619,0.862999975681305,1.26300001144409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pass_forward",-Inf,Inf,NA,"2.2","no","unsuccessful"
2022091500,195,NA,NA,NA,NA,NA,NA,NA,0,NA,1.45900001128515,0.859000027179718,1.85899996757507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,"no","unsuccessful"
2022091500,233,10,1,1,2.636,"LAC","C",2.23000001907349,5,"Man",0.913000011444091,0.732999980449677,1.13300001621246,29.657,39.657,0,7.817515013492,1.954378753373,0.419562733230878,20.0448176728935,5.01120441822337,2.79718236433209,0,0,10.7142857142857,0,32.1428571428571,0,118.89542619644,64.8627387943309,145.595671389204,166.798187115322,170.41167032115,53.4363061835521,22.686103291355,2.76082540419353,24.0352511376936,13.1795620386227,24.5955678788455,11.2626017604616,12.369975,-1.51082692307692,-0.926800000000028,1.57905647721693,2.89424605706671,8.73527414185425,"pass_forward",14.07,8.77,NA,"2.7","no","unsuccessful"
2022091500,257,1,2,1,2.936,"LAC","C",6.69999980926514,5,"Zone",1.09399999678135,0.869000017642975,1.36899995803833,39.174,40.174,0,6.43811474356894,1.60952868589224,0.0955710200490151,34.420667178249,8.60516679456224,2.2289720285358,100,0,100,0,100,0,180.279510109976,10.7110057551566,188.788696901678,139.741239396636,193.337993843168,7.14155399338505,0.374178129227797,0.376669128186202,1.25621991217757,1.26355482340656,0.375261563685865,0.365435653498488,1.98459999999999,NA,NA,0.0433456456867333,NA,NA,"pass_forward",2.02,1.95,"0.2","2.9","yes","unsuccessful"
2022091500,281,10,1,1,3.534,"LAC","I",3.04999995231628,5,"Zone",0.78599999845028,0.611000001430511,1.11099994182587,53.994,63.994,0,7.24332501475738,1.81083125368934,0.705057582459217,15.4859256755443,3.87148141888606,2.34760473254849,0,0,3.84615384615384,46.1538461538461,42.3076923076923,0,92.4859628400388,68.8978469719398,143.886015662386,171.931877460471,177.886522236327,64.9117748288366,2.53309935071863,2.10028985693184,15.5736653987933,28.7224897753076,20.3003071003984,7.52441168917898,14.9971365384615,0.255729166666657,-1.72217391304322,1.96614594293291,4.86451233978237,12.5265661174822,"pass_forward",17.81,12.21,"2.6","3.6","yes","successful"
